id,text,payment_method,issue_type,priority,merchant_or_customer,cleaned_text,cluster
CASE-0066,Refund request received for ach transaction PO030006; verify eligibility.,ach,refund_request,medium,account holder,refund request receive ach transaction po030006 verify eligibility,4
CASE-0067,Customer asks to reverse a wire payment after the original transaction.,wire,refund_request,medium,customer,customer asks reverse wire payment after original transaction,2
CASE-0068,Merchant submitted a refund case for merchant; authorization and status are required.,merchant,refund_request,medium,merchant,merchant submitted refund case merchant authorization status required,7
CASE-0069,operations team requested a refund for the card payment PO030009.,card,refund_request,medium,operations team,operations team request refund card payment po030009,4
CASE-0070,Refund request received for upi transaction PO030010; verify eligibility.,upi,refund_request,medium,account holder,refund request receive upi transaction po030010 verify eligibility,4
CASE-0071,Customer asks to reverse a ach payment after the original transaction.,ach,refund_request,medium,customer,customer asks reverse ach payment after original transaction,2
CASE-0072,Merchant submitted a refund case for wire; authorization and status are required.,wire,refund_request,medium,merchant,merchant submitted refund case wire authorization status required,7
CASE-0073,operations team requested a refund for the merchant payment PO030013.,merchant,refund_request,medium,operations team,operations team request refund merchant payment po030013,4
CASE-0074,Refund request received for card transaction PO030014; verify eligibility.,card,refund_request,medium,account holder,refund request receive card transaction po030014 verify eligibility,4
CASE-0075,Customer asks to reverse a upi payment after the original transaction.,upi,refund_request,medium,customer,customer asks reverse upi payment after original transaction,2
CASE-0076,Merchant submitted a refund case for ach; authorization and status are required.,ach,refund_request,medium,merchant,merchant submitted refund case ach authorization status required,7
CASE-0077,operations team requested a refund for the wire payment PO030017.,wire,refund_request,medium,operations team,operations team request refund wire payment po030017,4
CASE-0078,Refund request received for merchant transaction PO030018; verify eligibility.,merchant,refund_request,medium,account holder,refund request receive merchant transaction po030018 verify eligibility,4
CASE-0079,Customer asks to reverse a card payment after the original transaction.,card,refund_request,medium,customer,customer asks reverse card payment after original transaction,2
CASE-0080,Merchant submitted a refund case for upi; authorization and status are required.,upi,refund_request,medium,merchant,merchant submitted refund case upi authorization status required,7
CASE-0081,operations team requested a refund for the ach payment PO030021.,ach,refund_request,medium,operations team,operations team request refund ach payment po030021,4
CASE-0082,Refund request received for wire transaction PO030022; verify eligibility.,wire,refund_request,medium,account holder,refund request receive wire transaction po030022 verify eligibility,4
CASE-0083,Customer asks to reverse a merchant payment after the original transaction.,merchant,refund_request,medium,customer,customer asks reverse merchant payment after original transaction,2
CASE-0084,Merchant submitted a refund case for card; authorization and status are required.,card,refund_request,medium,merchant,merchant submitted refund case card authorization status required,7
CASE-0085,operations team requested a refund for the upi payment PO030025.,upi,refund_request,medium,operations team,operations team request refund upi payment po030025,4
CASE-0086,Refund request received for ach transaction PO030026; verify eligibility.,ach,refund_request,medium,account holder,refund request receive ach transaction po030026 verify eligibility,4
CASE-0087,Customer asks to reverse a wire payment after the original transaction.,wire,refund_request,medium,customer,customer asks reverse wire payment after original transaction,2
CASE-0088,Merchant submitted a refund case for merchant; authorization and status are required.,merchant,refund_request,medium,merchant,merchant submitted refund case merchant authorization status required,7
CASE-0089,operations team requested a refund for the card payment PO030029.,card,refund_request,medium,operations team,operations team request refund card payment po030029,4
CASE-0090,Refund request received for upi transaction PO030030; verify eligibility.,upi,refund_request,medium,account holder,refund request receive upi transaction po030030 verify eligibility,4
CASE-0091,Chargeback notification received for wire transaction PO040001; evidence is required.,wire,chargeback,high,account holder,chargeback notification receive wire transaction po040001 evidence required,4
CASE-0092,Card network opened a chargeback case for customer; review reason and deadline.,merchant,chargeback,high,customer,card network opened chargeback case customer review reason deadline,2
CASE-0093,Chargeback response package needs transaction evidence for reference PO040003.,card,chargeback,high,merchant,chargeback response package needs transaction evidence reference po040003,6
CASE-0094,Unauthorized payment chargeback reported on upi; route to disputes team.,upi,chargeback,high,operations team,unauthorized payment chargeback reported upi route dispute team,2
CASE-0095,Chargeback notification received for ach transaction PO040005; evidence is required.,ach,chargeback,high,account holder,chargeback notification receive ach transaction po040005 evidence required,4
CASE-0096,Card network opened a chargeback case for customer; review reason and deadline.,wire,chargeback,high,customer,card network opened chargeback case customer review reason deadline,2
CASE-0097,Chargeback response package needs transaction evidence for reference PO040007.,merchant,chargeback,high,merchant,chargeback response package needs transaction evidence reference po040007,6
CASE-0098,Unauthorized payment chargeback reported on card; route to disputes team.,card,chargeback,high,operations team,unauthorized payment chargeback reported card route dispute team,2
CASE-0099,Chargeback notification received for upi transaction PO040009; evidence is required.,upi,chargeback,high,account holder,chargeback notification receive upi transaction po040009 evidence required,4
CASE-0100,Card network opened a chargeback case for customer; review reason and deadline.,ach,chargeback,high,customer,card network opened chargeback case customer review reason deadline,2
CASE-0101,Chargeback response package needs transaction evidence for reference PO040011.,wire,chargeback,high,merchant,chargeback response package needs transaction evidence reference po040011,6
CASE-0102,Unauthorized payment chargeback reported on merchant; route to disputes team.,merchant,chargeback,high,operations team,unauthorized payment chargeback reported merchant route dispute team,2
CASE-0103,Chargeback notification received for card transaction PO040013; evidence is required.,card,chargeback,high,account holder,chargeback notification receive card transaction po040013 evidence required,4
CASE-0104,Card network opened a chargeback case for customer; review reason and deadline.,upi,chargeback,high,customer,card network opened chargeback case customer review reason deadline,2
CASE-0105,Chargeback response package needs transaction evidence for reference PO040015.,ach,chargeback,high,merchant,chargeback response package needs transaction evidence reference po040015,6
CASE-0106,Unauthorized payment chargeback reported on wire; route to disputes team.,wire,chargeback,high,operations team,unauthorized payment chargeback reported wire route dispute team,2
CASE-0107,Chargeback notification received for merchant transaction PO040017; evidence is required.,merchant,chargeback,high,account holder,chargeback notification receive merchant transaction po040017 evidence required,4
CASE-0108,Card network opened a chargeback case for customer; review reason and deadline.,card,chargeback,high,customer,card network opened chargeback case customer review reason deadline,2
CASE-0109,Chargeback response package needs transaction evidence for reference PO040019.,upi,chargeback,high,merchant,chargeback response package needs transaction evidence reference po040019,6
CASE-0110,Unauthorized payment chargeback reported on ach; route to disputes team.,ach,chargeback,high,operations team,unauthorized payment chargeback reported ach route dispute team,2
CASE-0111,Chargeback notification received for wire transaction PO040021; evidence is required.,wire,chargeback,high,account holder,chargeback notification receive wire transaction po040021 evidence required,4
CASE-0112,Card network opened a chargeback case for customer; review reason and deadline.,merchant,chargeback,high,customer,card network opened chargeback case customer review reason deadline,2
CASE-0113,Chargeback response package needs transaction evidence for reference PO040023.,card,chargeback,high,merchant,chargeback response package needs transaction evidence reference po040023,6
CASE-0114,Unauthorized payment chargeback reported on upi; route to disputes team.,upi,chargeback,high,operations team,unauthorized payment chargeback reported upi route dispute team,2
CASE-0115,Chargeback notification received for ach transaction PO040025; evidence is required.,ach,chargeback,high,account holder,chargeback notification receive ach transaction po040025 evidence required,4
CASE-0116,Card network opened a chargeback case for customer; review reason and deadline.,wire,chargeback,high,customer,card network opened chargeback case customer review reason deadline,2
CASE-0117,Chargeback response package needs transaction evidence for reference PO040027.,merchant,chargeback,high,merchant,chargeback response package needs transaction evidence reference po040027,6
CASE-0118,Unauthorized payment chargeback reported on card; route to disputes team.,card,chargeback,high,operations team,unauthorized payment chargeback reported card route dispute team,2
CASE-0119,Chargeback notification received for upi transaction PO040029; evidence is required.,upi,chargeback,high,account holder,chargeback notification receive upi transaction po040029 evidence required,4
CASE-0120,Card network opened a chargeback case for customer; review reason and deadline.,ach,chargeback,high,customer,card network opened chargeback case customer review reason deadline,2
CASE-0121,customer disputes the merchant payment PO050001; investigate the transaction record.,merchant,payment_dispute,medium,customer,customer dispute merchant payment po050001 investigate transaction record,2
CASE-0122,Payment dispute opened for card; collect customer reason and supporting evidence.,card,payment_dispute,medium,merchant,payment dispute opened card collect customer reason supporting evidence,2
CASE-0123,Customer says the upi transaction is not recognized; dispute review is needed.,upi,payment_dispute,medium,operations team,customer says upi transaction not recognized dispute review needed,2
CASE-0124,Merchant and customer disagree about ach payment PO050004; preserve case history.,ach,payment_dispute,medium,account holder,merchant customer disagree about ach payment po050004 preserve case history,2
CASE-0125,customer disputes the wire payment PO050005; investigate the transaction record.,wire,payment_dispute,medium,customer,customer dispute wire payment po050005 investigate transaction record,2
CASE-0126,Payment dispute opened for merchant; collect customer reason and supporting evidence.,merchant,payment_dispute,medium,merchant,payment dispute opened merchant collect customer reason supporting evidence,2
CASE-0127,Customer says the card transaction is not recognized; dispute review is needed.,card,payment_dispute,medium,operations team,customer says card transaction not recognized dispute review needed,2
CASE-0128,Merchant and customer disagree about upi payment PO050008; preserve case history.,upi,payment_dispute,medium,account holder,merchant customer disagree about upi payment po050008 preserve case history,2
CASE-0129,customer disputes the ach payment PO050009; investigate the transaction record.,ach,payment_dispute,medium,customer,customer dispute ach payment po050009 investigate transaction record,2
CASE-0130,Payment dispute opened for wire; collect customer reason and supporting evidence.,wire,payment_dispute,medium,merchant,payment dispute opened wire collect customer reason supporting evidence,2
CASE-0131,Customer says the merchant transaction is not recognized; dispute review is needed.,merchant,payment_dispute,medium,operations team,customer says merchant transaction not recognized dispute review needed,2
CASE-0132,Merchant and customer disagree about card payment PO050012; preserve case history.,card,payment_dispute,medium,account holder,merchant customer disagree about card payment po050012 preserve case history,2
CASE-0133,customer disputes the upi payment PO050013; investigate the transaction record.,upi,payment_dispute,medium,customer,customer dispute upi payment po050013 investigate transaction record,2
CASE-0134,Payment dispute opened for ach; collect customer reason and supporting evidence.,ach,payment_dispute,medium,merchant,payment dispute opened ach collect customer reason supporting evidence,2
CASE-0135,Customer says the wire transaction is not recognized; dispute review is needed.,wire,payment_dispute,medium,operations team,customer says wire transaction not recognized dispute review needed,2
CASE-0136,Merchant and customer disagree about merchant payment PO050016; preserve case history.,merchant,payment_dispute,medium,account holder,merchant customer disagree about merchant payment po050016 preserve case history,2
CASE-0137,customer disputes the card payment PO050017; investigate the transaction record.,card,payment_dispute,medium,customer,customer dispute card payment po050017 investigate transaction record,2
CASE-0138,Payment dispute opened for upi; collect customer reason and supporting evidence.,upi,payment_dispute,medium,merchant,payment dispute opened upi collect customer reason supporting evidence,2
CASE-0139,Customer says the ach transaction is not recognized; dispute review is needed.,ach,payment_dispute,medium,operations team,customer says ach transaction not recognized dispute review needed,2
CASE-0140,Merchant and customer disagree about wire payment PO050020; preserve case history.,wire,payment_dispute,medium,account holder,merchant customer disagree about wire payment po050020 preserve case history,2
CASE-0141,customer disputes the merchant payment PO050021; investigate the transaction record.,merchant,payment_dispute,medium,customer,customer dispute merchant payment po050021 investigate transaction record,2
CASE-0142,Payment dispute opened for card; collect customer reason and supporting evidence.,card,payment_dispute,medium,merchant,payment dispute opened card collect customer reason supporting evidence,2
CASE-0143,Customer says the upi transaction is not recognized; dispute review is needed.,upi,payment_dispute,medium,operations team,customer says upi transaction not recognized dispute review needed,2
CASE-0144,Merchant and customer disagree about ach payment PO050024; preserve case history.,ach,payment_dispute,medium,account holder,merchant customer disagree about ach payment po050024 preserve case history,2
CASE-0145,customer disputes the wire payment PO050025; investigate the transaction record.,wire,payment_dispute,medium,customer,customer dispute wire payment po050025 investigate transaction record,2
CASE-0146,Payment dispute opened for merchant; collect customer reason and supporting evidence.,merchant,payment_dispute,medium,merchant,payment dispute opened merchant collect customer reason supporting evidence,2
CASE-0147,Customer says the card transaction is not recognized; dispute review is needed.,card,payment_dispute,medium,operations team,customer says card transaction not recognized dispute review needed,2
CASE-0148,Merchant and customer disagree about upi payment PO050028; preserve case history.,upi,payment_dispute,medium,account holder,merchant customer disagree about upi payment po050028 preserve case history,2
CASE-0149,customer disputes the ach payment PO050029; investigate the transaction record.,ach,payment_dispute,medium,customer,customer dispute ach payment po050029 investigate transaction record,2
CASE-0150,Payment dispute opened for wire; collect customer reason and supporting evidence.,wire,payment_dispute,medium,merchant,payment dispute opened wire collect customer reason supporting evidence,2
CASE-0151,Merchant settlement for card does not match the expected payout PO060001.,card,settlement_mismatch,high,merchant,merchant settlement card does not match expected payout po060001,1
CASE-0152,Settlement reconciliation found a missing upi transaction in the ledger.,upi,settlement_mismatch,high,operations team,settlement reconciliation found miss upi transaction ledger,1
CASE-0153,Processor settlement total differs from expected amount; investigate batch PO060003.,ach,settlement_mismatch,high,account holder,processor settlement total differs expected amount investigate batch po060003,1
CASE-0154,Merchant payout mismatch requires comparing settlement file with internal records.,wire,settlement_mismatch,high,customer,merchant payout mismatch requires comparing settlement file internal records,1
CASE-0155,Merchant settlement for merchant does not match the expected payout PO060005.,merchant,settlement_mismatch,high,merchant,merchant settlement merchant does not match expected payout po060005,1
CASE-0156,Settlement reconciliation found a missing card transaction in the ledger.,card,settlement_mismatch,high,operations team,settlement reconciliation found miss card transaction ledger,1
CASE-0157,Processor settlement total differs from expected amount; investigate batch PO060007.,upi,settlement_mismatch,high,account holder,processor settlement total differs expected amount investigate batch po060007,1
CASE-0158,Merchant payout mismatch requires comparing settlement file with internal records.,ach,settlement_mismatch,high,customer,merchant payout mismatch requires comparing settlement file internal records,1
CASE-0159,Merchant settlement for wire does not match the expected payout PO060009.,wire,settlement_mismatch,high,merchant,merchant settlement wire does not match expected payout po060009,1
CASE-0160,Settlement reconciliation found a missing merchant transaction in the ledger.,merchant,settlement_mismatch,high,operations team,settlement reconciliation found miss merchant transaction ledger,1
CASE-0161,Processor settlement total differs from expected amount; investigate batch PO060011.,card,settlement_mismatch,high,account holder,processor settlement total differs expected amount investigate batch po060011,1
CASE-0162,Merchant payout mismatch requires comparing settlement file with internal records.,upi,settlement_mismatch,high,customer,merchant payout mismatch requires comparing settlement file internal records,1
CASE-0163,Merchant settlement for ach does not match the expected payout PO060013.,ach,settlement_mismatch,high,merchant,merchant settlement ach does not match expected payout po060013,1
CASE-0164,Settlement reconciliation found a missing wire transaction in the ledger.,wire,settlement_mismatch,high,operations team,settlement reconciliation found miss wire transaction ledger,1
CASE-0165,Processor settlement total differs from expected amount; investigate batch PO060015.,merchant,settlement_mismatch,high,account holder,processor settlement total differs expected amount investigate batch po060015,1
CASE-0166,Merchant payout mismatch requires comparing settlement file with internal records.,card,settlement_mismatch,high,customer,merchant payout mismatch requires comparing settlement file internal records,1
CASE-0167,Merchant settlement for upi does not match the expected payout PO060017.,upi,settlement_mismatch,high,merchant,merchant settlement upi does not match expected payout po060017,1
CASE-0168,Settlement reconciliation found a missing ach transaction in the ledger.,ach,settlement_mismatch,high,operations team,settlement reconciliation found miss ach transaction ledger,1
CASE-0169,Processor settlement total differs from expected amount; investigate batch PO060019.,wire,settlement_mismatch,high,account holder,processor settlement total differs expected amount investigate batch po060019,1
CASE-0170,Merchant payout mismatch requires comparing settlement file with internal records.,merchant,settlement_mismatch,high,customer,merchant payout mismatch requires comparing settlement file internal records,1
CASE-0171,Merchant settlement for card does not match the expected payout PO060021.,card,settlement_mismatch,high,merchant,merchant settlement card does not match expected payout po060021,1
CASE-0172,Settlement reconciliation found a missing upi transaction in the ledger.,upi,settlement_mismatch,high,operations team,settlement reconciliation found miss upi transaction ledger,1
CASE-0173,Processor settlement total differs from expected amount; investigate batch PO060023.,ach,settlement_mismatch,high,account holder,processor settlement total differs expected amount investigate batch po060023,1
CASE-0174,Merchant payout mismatch requires comparing settlement file with internal records.,wire,settlement_mismatch,high,customer,merchant payout mismatch requires comparing settlement file internal records,1
CASE-0175,Merchant settlement for merchant does not match the expected payout PO060025.,merchant,settlement_mismatch,high,merchant,merchant settlement merchant does not match expected payout po060025,1
CASE-0176,Settlement reconciliation found a missing card transaction in the ledger.,card,settlement_mismatch,high,operations team,settlement reconciliation found miss card transaction ledger,1
CASE-0177,Processor settlement total differs from expected amount; investigate batch PO060027.,upi,settlement_mismatch,high,account holder,processor settlement total differs expected amount investigate batch po060027,1
CASE-0178,Merchant payout mismatch requires comparing settlement file with internal records.,ach,settlement_mismatch,high,customer,merchant payout mismatch requires comparing settlement file internal records,1
CASE-0179,Merchant settlement for wire does not match the expected payout PO060029.,wire,settlement_mismatch,high,merchant,merchant settlement wire does not match expected payout po060029,1
CASE-0180,Settlement reconciliation found a missing merchant transaction in the ledger.,merchant,settlement_mismatch,high,operations team,settlement reconciliation found miss merchant transaction ledger,1
CASE-0181,upi transfer is pending beyond the expected processing window for operations team.,upi,transfer_exception,medium,operations team,upi transfer pending beyond expected process window operations team,3
CASE-0182,ach transfer returned because bank account information requires verification.,ach,transfer_exception,medium,account holder,ach transfer returned because bank account information requires verification,5
CASE-0183,"Wire or ACH exception requires bank response, beneficiary details, and operations review.",wire,transfer_exception,medium,customer,wire ach exception requires bank response beneficiary details operations review,5
CASE-0184,Payment rail exception is unresolved for reference PO070004; escalate if compliance risk appears.,merchant,transfer_exception,medium,merchant,payment rail exception unresolved reference po070004 escalate if compliance risk appears,0
CASE-0185,card transfer is pending beyond the expected processing window for operations team.,card,transfer_exception,medium,operations team,card transfer pending beyond expected process window operations team,3
CASE-0186,upi transfer returned because bank account information requires verification.,upi,transfer_exception,medium,account holder,upi transfer returned because bank account information requires verification,5
CASE-0187,"Wire or ACH exception requires bank response, beneficiary details, and operations review.",ach,transfer_exception,medium,customer,wire ach exception requires bank response beneficiary details operations review,5
CASE-0188,Payment rail exception is unresolved for reference PO070008; escalate if compliance risk appears.,wire,transfer_exception,medium,merchant,payment rail exception unresolved reference po070008 escalate if compliance risk appears,0
CASE-0189,merchant transfer is pending beyond the expected processing window for operations team.,merchant,transfer_exception,medium,operations team,merchant transfer pending beyond expected process window operations team,3
CASE-0190,card transfer returned because bank account information requires verification.,card,transfer_exception,medium,account holder,card transfer returned because bank account information requires verification,5
CASE-0191,"Wire or ACH exception requires bank response, beneficiary details, and operations review.",upi,transfer_exception,medium,customer,wire ach exception requires bank response beneficiary details operations review,5
CASE-0192,Payment rail exception is unresolved for reference PO070012; escalate if compliance risk appears.,ach,transfer_exception,medium,merchant,payment rail exception unresolved reference po070012 escalate if compliance risk appears,0
CASE-0193,wire transfer is pending beyond the expected processing window for operations team.,wire,transfer_exception,medium,operations team,wire transfer pending beyond expected process window operations team,3
CASE-0194,merchant transfer returned because bank account information requires verification.,merchant,transfer_exception,medium,account holder,merchant transfer returned because bank account information requires verification,5
CASE-0195,"Wire or ACH exception requires bank response, beneficiary details, and operations review.",card,transfer_exception,medium,customer,wire ach exception requires bank response beneficiary details operations review,5
CASE-0196,Payment rail exception is unresolved for reference PO070016; escalate if compliance risk appears.,upi,transfer_exception,medium,merchant,payment rail exception unresolved reference po070016 escalate if compliance risk appears,0
CASE-0197,ach transfer is pending beyond the expected processing window for operations team.,ach,transfer_exception,medium,operations team,ach transfer pending beyond expected process window operations team,3
CASE-0198,wire transfer returned because bank account information requires verification.,wire,transfer_exception,medium,account holder,wire transfer returned because bank account information requires verification,5
